"VBIS Classification","2021-06-16",,,,"Brick Equipment Classes",,,,,,
"Level 1","Level 2","Level 3","Level 4",,,,,,,,
"Acoustics","Documents","OH&S","Hazard Register","AC-Doc-OHS-HReg",,,,,,,
"Acoustics","Documents","OH&S","Management System","AC-Doc-OHS-MS",,,,,,,
"Acoustics","Documents","OH&S","Plan","AC-Doc-OHS-Pl",,,,,,,
"Acoustics","Documents","OH&S","Policy","AC-Doc-OHS-Po",,,,,,,
"Acoustics","Documents","OH&S","Procedure","AC-Doc-OHS-Pr",,,,,,,
"Acoustics","Documents","OH&S","Risk Analysis","AC-Doc-OHS-RA",,,,,,,
"Acoustics","Documents","OH&S","Risk Register","AC-Doc-OHS-RReg",,,,,,,
"Acoustics","Documents","OH&S","Safe Work Instruction","AC-Doc-OHS-SWI",,,,,,,
"Acoustics","Documents","OH&S","Safety Data Sheet","AC-Doc-OHS-SDS",,,,,,,
"Acoustics","Documents","OH&S","Safety Plan","AC-Doc-OHS-SP",,,,,,,
"Acoustics","Documents","Programme",,"AC-Doc-Pr",,,,,,,
"Acoustics","Documents","Register",,"AC-Doc-Reg",,,,,,,
"Acoustics","Documents","Register","Assets","AC-Doc-Reg-As",,,,,,,
"Acoustics","Documents","Register","Documents","AC-Doc-Reg-Doc",,,,,,,
"Acoustics","Documents","Register","Equipment","AC-Doc-Reg-Eq",,,,,,,
"Acoustics","Documents","Report",,"AC-Doc-Re",,,,,,,
"Acoustics","Documents","Schedule",,"AC-Doc-Sc",,,,,,,
"Acoustics","Documents","Software",,"AC-Doc-So",,,,,,,
"Acoustics","Documents","Software","Operating System","AC-Doc-So-OS",,,,,,,
"Acoustics","Documents","Software","Firmware","AC-Doc-So-Fi",,,,,,,
"Acoustics","Documents","Software","Application","AC-Doc-So-Ap",,,,,,,
"Acoustics","Documents","Specification",,"AC-Doc-Spec",,,,,,,
"Acoustics","Documents","Technical Literature",,"AC-Doc-TL",,,,,,,
"Acoustics","Documents","Template",,"AC-Doc-Te",,,,,,,
"Acoustics","Documents","Template","Document","AC-Doc-Te-Doc",,,,,,,
"Acoustics","Documents","Template","Drawing","AC-Doc-Te-Dr",,,,,,,
"Acoustics","Documents","Template","Model","AC-Doc-Te-Mo",,,,,,,
"Acoustics","Documents","Template","Presentation","AC-Doc-Te-Pr",,,,,,,
"Acoustics","Documents","Template","Spreadsheet","AC-Doc-Te-Sp",,,,,,,
"Acoustics","Documents","Test Results",,"AC-Doc-TR",,,,,,,
"Acoustics","Documents","Warranty",,"AC-Doc-Wa",,,,,,,
"Acoustics","Documents","Warranty","Certificate","AC-Doc-Wa-Ce",,,,,,,
"Acoustics","Documents","Warranty","Claim","AC-Doc-Wa-Cl",,,,,,,
"Acoustics","Documents","Warranty","Terms& Conditions","AC-Doc-Wa-TC",,,,,,,
"Acoustics","Documents","Warranty","Warranty Record","AC-Doc-Wa-WR",,,,,,,
"Administration",,,,"AD",,,,,,,
"Administration","Documents",,,"AD-Doc",,,,,,,
"Administration","Documents","Advice Note",,"AD-Doc-AN",,,,,,,
"Administration","Documents","Brief",,"AD-Doc-Br",,,,,,,
"Administration","Documents","Brief","Client","AD-Doc-Br-Cl",,,,,,,
"Administration","Documents","Brief","Return","AD-Doc-Br-Re",,,,,,,
"Administration","Documents","Calculations",,"AD-Doc-Calc",,,,,,,
"Administration","Documents","Certification",,"AD-Doc-Ce",,,,,,,
"Administration","Documents","Contract",,"AD-Doc-Co",,,,,,,
"Administration","Documents","Contract","Conditions","AD-Doc-Co-Co",,,,,,,
"Administration","Documents","Contract","Sub-contract","AD-Doc-Co-SC",,,,,,,
"Administration","Documents","Contract","Statement of Work","AD-Doc-Co-SOW",,,,,,,
"Administration","Documents","Contract","Return Brief","AD-Doc-Co-RB",,,,,,,
"Administration","Documents","Contract","Expression of Interest","AD-Doc-Co-EOI",,,,,,,
"Administration","Documents","Contract","Tender Submission","AD-Doc-Co-TS",,,,,,,
"Administration","Documents","Contract","Letter of Offer","AD-Doc-Co-LOO",,,,,,,
"Administration","Documents","Contract","Letter of Intent","AD-Doc-Co-LOI",,,,,,,
"Administration","Documents","Contract","Attachment","AD-Doc-Co-At",,,,,,,
"Administration","Documents","Contract","Addendum","AD-Doc-Co-Ad",,,,,,,
"Administration","Documents","Contract","Novation","AD-Doc-Co-No",,,,,,,
"Administration","Documents","Contract","Variation","AD-Doc-Co-Va",,,,,,,
"Administration","Documents","Drawing",,"AD-Doc-Dr",,,,,,,
"Administration","Documents","Drawing","Cover Sheet","AD-Doc-Dr-CS",,,,,,,
"Administration","Documents","Drawing","Legend","AD-Doc-Dr-Le",,,,,,,
"Administration","Documents","Drawing","Plan","AD-Doc-Dr-Pl",,,,,,,
"Administration","Documents","Drawing","Elevations","AD-Doc-Dr-El",,,,,,,
"Administration","Documents","Drawing","Details","AD-Doc-Dr-De",,,,,,,
"Administration","Documents","Drawing","Schematic","AD-Doc-Dr-Sc",,,,,,,
"Administration","Documents","Letter",,"AD-Doc-Le",,,,,,,
"Administration","Documents","Management System",,"AD-Doc-MS",,,,,,,
"Administration","Documents","Management System","Plan","AD-Doc-MS-Pl",,,,,,,
"Administration","Documents","Management System","Policy","AD-Doc-MS-Po",,,,,,,
"Administration","Documents","Management System","Procedure","AD-Doc-MS-Pr",,,,,,,
"Administration","Documents","Management System","Guideline","AD-Doc-MS-Gu",,,,,,,
"Administration","Documents","Management System","Work Instruction","AD-Doc-MS-WI",,,,,,,
"Administration","Documents","Management System","Form","AD-Doc-MS-Fo",,,,,,,
"Administration","Documents","Management System","Template","AD-Doc-MS-Te",,,,,,,
"Administration","Documents","Management System","Register","AD-Doc-MS-Reg",,,,,,,
"Administration","Documents","Manual",,"AD-Doc-Man",,,,,,,
"Administration","Documents","Manual","Manufacturer","AD-Doc-Man-Ma",,,,,,,
"Administration","Documents","Manual","O&M Manual","AD-Doc-Man-OM",,,,,,,
"Administration","Documents","Maintenance",,"AD-Doc-Ma",,,,,,,
"Administration","Documents","Maintenance","Certificate","AD-Doc-Ma-Ce",,,,,,,
"Administration","Documents","Maintenance","Corrective Action Record","AD-Doc-Ma-CAR",,,,,,,
"Administration","Documents","Maintenance","Inspection Report","AD-Doc-Ma-IR",,,,,,,
"Administration","Documents","Maintenance","Operating Procedure","AD-Doc-Ma-OP",,,,,,,
"Administration","Documents","Maintenance","Preventative Maintenance Record","AD-Doc-Ma-PMR",,,,,,,
"Administration","Documents","Maintenance","Repair Recommendation","AD-Doc-Ma-RR",,,,,,,
"Administration","Documents","Maintenance","Switching Procedure","AD-Doc-Ma-SP",,,,,,,
"Administration","Documents","Media",,"AD-Doc-Me",,,,,,,
"Administration","Documents","Media","Audio","AD-Doc-Me-Au",,,,,,,
"Administration","Documents","Media","Image","AD-Doc-Me-Im",,,,,,,
"Administration","Documents","Media","Movie","AD-Doc-Me-Mo",,,,,,,
