Dimension,Tag,Definition,Related Terminologies,hasSynonym,Author,Reviewed,Review Count,Comments
MeasurementProperty,Conditioning,,Air Conditioning,,Jason,,,"(Jason, Not sure it is necessary, but used in labels.)"
MeasurementProperty,Overload,,Fan Overload,,Jason,,,
MeasurementProperty,Detected,,Smoke Detected Alarm,,Jason,,,"(Jason, Not sure it is necessary, but used in labels. Maybe redundant with Alarm.)"
MeasurementProperty,Communication,,Communication Status of System,,Jason,,,
MeasurementProperty,Loss,,,,Jason,,,
MeasurementProperty,Suction,,,,Jason,,,
MeasurementProperty,Relative,,Relative Humidity,,Jason,,,
MeasurementProperty,Estimation,For a (maybe virtual) point where values are not measured but estimated.,,Calculation,Jason,,,
MeasurementProperty,Capacity,,,,Jason,,,
MeasurementProperty,No,,,,,,,
MeasurementProperty,Wind,,,,,,,
MeasurementProperty,Auto,,,,,,,
MeasurementProperty,Storage,,,,,,,
MeasurementProperty,Activated,,,,,,,
MeasurementProperty,Hood,,,,,,,
MeasurementProperty,Yearly,,,,,,,
MeasurementProperty,Off,,,,,,,
MeasurementProperty,Generator,,,,,,,
MeasurementProperty,Cold,,,,,,,
MeasurementProperty,Underfloor,,,,,,,
MeasurementProperty,Supply,,,,,,,
MeasurementProperty,Change,,,,,,,
MeasurementProperty,Stage,,,,,,,
MeasurementProperty,Face,,,,,,,
MeasurementProperty,Radiance,,,,,,,
MeasurementProperty,Short,,,,,,,
MeasurementProperty,Deionised,,,,,,,
MeasurementProperty,When,,,,,,,
MeasurementProperty,Stack,,,,,,,
MeasurementProperty,Failed,,,,,,,
MeasurementProperty,From,,,,,,,
MeasurementProperty,Push,,,,,,,
MeasurementProperty,Hold,,,,,,,
MeasurementProperty,Increase,,,,,,,
MeasurementProperty,Locally,,,,,,,
MeasurementProperty,Demand,,,,,,,
MeasurementProperty,Humidify,,,,,,,
MeasurementProperty,DualBand,,,,,,,
MeasurementProperty,Dewpoint,,,,,,,
MeasurementProperty,Average,,,,,,,
MeasurementProperty,Thermal,,,,,,,
MeasurementProperty,Tower,,,,,,,
MeasurementProperty,Temporary,,,,,,,
MeasurementProperty,Lead,,,,,,,
MeasurementProperty,Stages,,,,,,,
MeasurementProperty,Effective,,,,,,,
MeasurementProperty,Fire,,,,,,,
MeasurementProperty,Turned,,,,,,,
MeasurementProperty,Velocity,,,,,,,
MeasurementProperty,Meter,,,,,,,
MeasurementProperty,Grains,,,,,,,
MeasurementProperty,Shutdown,,,,,,,
MeasurementProperty,Integration,,,,,,,
MeasurementProperty,Freezer,,,,,,,
MeasurementProperty,Lag,,,,,,,
MeasurementProperty,Percent,,,,,,,
MeasurementProperty,Fans,,,,,,,
MeasurementProperty,Highest,,,,,,,
MeasurementProperty,Conductivity,,,,,,,
MeasurementProperty,Sash,,,,,,,
MeasurementProperty,Piezoelectric,,,,,,,
MeasurementProperty,EconCycle,,,,,,,
MeasurementProperty,Handler,,,,,,,
MeasurementProperty,Lowest,,,,,,,
MeasurementProperty,Cycle,,,,,,,
MeasurementProperty,Overridden,,,,,,,
MeasurementProperty,Level,,,,,,,
MeasurementProperty,Turn,,,,,,,
MeasurementProperty,Last,,,,,,,
MeasurementProperty,Month,,,,,,,
MeasurementProperty,Proportional,,,,,,,
MeasurementProperty,Shed,,,,,,,
MeasurementProperty,Monthly,,,,,,,
MeasurementProperty,Digital,,,,,,,
MeasurementProperty,Decrease,,,,,,,
MeasurementProperty,Cooling,,,,,,,
MeasurementProperty,Integral,,,,,,,
MeasurementProperty,Short,,,,,,,
MeasurementProperty,Step,,,,,,,
MeasurementProperty,Pre,,,,,,,
MeasurementProperty,Even,,,,,,,
MeasurementProperty,Detection,,,,,,,
MeasurementProperty,Peak,,,,,,,
MeasurementProperty,To,,,,,,,
MeasurementProperty,Fume,,,,,,,
MeasurementProperty,Usage,,,,,,,
MeasurementProperty,Date,,,,,,,
MeasurementProperty,Today,,,,,,,
MeasurementProperty,Preheat,,,,,,,
MeasurementProperty,Code,,,,,,,
MeasurementProperty,Cycle,,,,,,,
MeasurementProperty,Button,,,,,,,
MeasurementProperty,Analog,,,,,,,
MeasurementProperty,Open,,,,,,,
MeasurementProperty,Wheel,,,,,,,
MeasurementProperty,On,,,,,,,
MeasurementProperty,Perimeter,,,,,,,
MeasurementProperty,Remotely,,,,,,,
MeasurementProperty,Schedule,,,,,,,
MeasurementProperty,By,,,,,,,
MeasurementProperty,Environment,,,,,,,
MeasurementProperty,Enthalpy,,,,,,,
MeasurementProperty,Glycool,,,,,,,
MeasurementProperty,Current,,,,,,,
MeasurementProperty,Time,,,,Bharath,,,
MeasurementProperty,Voltage,,,,Bharath,,,
MeasurementProperty,Power,,,,Bharath,,,
MeasurementProperty,Current,Alternating Current - usually used for power measurements,,,Bharath,,,"(Is this electric current?, Jason)"
MeasurementProperty,Energy,,,,Bharath,,,
MeasurementProperty,DC,Direct Current - usually used for digital control,,,Bharath,,,
MeasurementProperty,Temperature,,,,Jason,,,
MeasurementProperty,Flow,Fluidic stream,Discharge Air Flow Sensor,,Jason,,,
MeasurementProperty,Pressure,,,,Jason,,,
MeasurementProperty,Humidity,,,,Jason,,,
MeasurementProperty,Enthalpy,,,,Jason,,,
MeasurementProperty,Angle,,Solar Zenith Angle,,Jason,,,
MeasurementProperty,Fault,,,,Bharath,,,
MeasurementProperty,Switch,Physical switch,"Light switch, Emergency Power Off Switch",,Jason,,,
MeasurementProperty,Status,,,,Bharath,,,
MeasurementProperty,CO2,,CO2 Sensor,,Jason,,,
MeasurementProperty,Occupancy,,,,Jsaon,,,
MeasurementProperty,Occupied,Indicates something is occupied.,,,Jsaon,,,
MeasurementProperty,Unoccupied,,,,Jason,,,
MeasurementProperty,Frequency,,,,Bharath,,,
MeasurementProperty,Luminance,,,,,,,
MeasurementProperty,Fahrenheit,,,,Jason,,,
MeasurementProperty,CFM,Cubic feet per minute,,,Jason,,,
Point,Setpoint,,,,Bharath,,,
Point,Sensor,,,,Jason,,,"(Snonym to Level?, Jason)"
Point,Status,,,,,,,
Point,Command,,,,Bharath,,,
Point,Alarm,,,,,,,
Point,Meter,,,,,,,
MeasurementProperty,Unit,,,,,,,
MeasurementProperty,Grains,,,,,,,
Equipment,Photovoltaic,,,,,,,
Equipment,Terminal,,,,,,,
Location,Laboratory,,,,,,,
MeasurementProperty,Adjust,,,,,,,
MeasurementProperty,Rain,,,,,,,
MeasurementProperty,Hail,,,,,,,
MeasurementProperty,Running,,,,,,,
MeasurementProperty,Warmest,,,,,,,
MeasurementProperty,Hand,,,,,,,
MeasurementProperty,Cool,,,,,,,
MeasurementProperty,Coldest,,,,,,,
MeasurementProperty,Hour,,,,,,,
MeasurementProperty,Warm,,,,,,,
MeasurementProperty,DI,,,,,,,
MeasurementProperty,Trace,,,,,,,
MeasurementProperty,Frost,,,,,,,
MeasurementProperty,Automatic,,,,,,,
MeasurementProperty,Duration,,,,,,,
MeasurementProperty,Gain,,,,,,,
